,Total,Total Owned Units with a Mortgage,Total Owned Units with a Mortgage (30-49%),Total Owned Units with a Mortgage (50%+),Total Owned Units with a Mortgage (Not Calculated),Total Owned Units without a Mortgage,Total Owned Units without a Mortgage (30-49%),Total Owned Units without a Mortgage (50%+),Total Owned Units without a Mortgage (Not Calculated),Total Rented,Total Rented (30-49%),Total Rented (50%+),Total Rented (Not Calculated)
    Margin of Error,±202,±105,±95,±58,±16,±92,±23,±23,±18,±152,±157,±146,±63
Census Tract 8260; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,035",269,159,75,0,452,23,23,0,314,146,146,11
    Margin of Error,±279,±117,±108,±68,±12,±264,±29,±29,±12,±113,±84,±84,±30
Census Tract 8261; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,161",711,259,212,0,296,139,127,0,"1,154",426,319,102
    Margin of Error,±261,±195,±154,±146,±17,±157,±121,±119,±17,±267,±141,±162,±88
Census Tract 8262.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,191",569,155,52,65,484,162,100,0,"1,138",650,278,66
    Margin of Error,±388,±276,±94,±50,±86,±138,±80,±84,±12,±285,±289,±111,±60
Census Tract 8262.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,971",859,307,174,0,565,76,21,0,547,464,342,9
    Margin of Error,±246,±252,±185,±143,±17,±212,±75,±23,±17,±250,±242,±250,±14
Census Tract 8263.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,447",743,312,129,0,299,97,23,9,405,280,246,23
    Margin of Error,±195,±206,±131,±87,±12,±121,±90,±32,±15,±145,±120,±116,±26
Census Tract 8263.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,255",755,228,87,0,329,45,17,0,171,95,85,0
    Margin of Error,±126,±167,±95,±49,±12,±98,±35,±19,±12,±93,±72,±71,±12
Census Tract 8263.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,264",431,180,119,10,309,102,28,29,524,221,128,0
    Margin of Error,±246,±162,±138,±140,±16,±127,±77,±43,±49,±220,±141,±106,±12
Census Tract 8264.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,232",683,358,170,12,271,82,54,0,278,215,140,22
    Margin of Error,±210,±218,±203,±100,±19,±120,±53,±49,±12,±128,±110,±97,±36
Census Tract 8264.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,893",873,428,203,0,487,150,146,9,533,398,170,0
    Margin of Error,±249,±164,±139,±92,±12,±239,±193,±193,±14,±158,±163,±84,±12
Census Tract 8265; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,025",851,366,109,28,491,0,0,0,683,461,209,50
    Margin of Error,±279,±225,±222,±82,±49,±190,±17,±17,±17,±217,±211,±158,±66
Census Tract 8266; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,535",628,241,128,42,315,81,40,34,592,352,294,44
    Margin of Error,±204,±138,±98,±70,±42,±128,±80,±50,±39,±158,±144,±128,±42
Census Tract 8267; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,797",636,313,133,0,341,91,70,10,820,561,262,46
    Margin of Error,±269,±217,±169,±111,±12,±123,±85,±79,±16,±178,±185,±147,±60
Census Tract 8268; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,622",424,240,153,0,449,172,41,0,749,234,128,89
    Margin of Error,±195,±154,±134,±107,±17,±158,±98,±40,±17,±233,±148,±133,±83
Census Tract 8269.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,679,118,71,59,0,199,42,42,0,362,222,63,61
    Margin of Error,±191,±67,±55,±56,±12,±86,±35,±35,±12,±184,±169,±45,±50
Census Tract 8269.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,401,122,97,15,0,93,20,8,0,186,86,50,27
    Margin of Error,±83,±57,±61,±23,±12,±44,±19,±13,±12,±89,±63,±51,±40
Census Tract 8270; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,132",395,158,108,0,284,0,0,0,453,278,183,22
    Margin of Error,±228,±232,±100,±89,±12,±103,±12,±12,±12,±223,±191,±164,±35
Census Tract 8271; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,837,173,56,23,0,145,23,0,0,519,369,267,18
    Margin of Error,±174,±63,±46,±26,±12,±56,±32,±12,±12,±165,±149,±128,±18
Census Tract 8272; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,326",427,169,72,0,468,124,29,0,431,279,173,31
    Margin of Error,±224,±207,±69,±51,±12,±100,±53,±23,±12,±120,±117,±93,±24
Census Tract 8273; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,917,144,48,32,0,186,0,0,0,587,229,116,164
    Margin of Error,±149,±83,±51,±46,±12,±71,±12,±12,±12,±167,±81,±70,±140
Census Tract 8274; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,142",298,179,109,0,344,26,21,10,500,312,257,36
    Margin of Error,±211,±165,±138,±123,±12,±128,±26,±26,±15,±188,±181,±168,±50
Census Tract 8275; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,457",503,193,123,0,494,55,25,38,460,142,81,28
    Margin of Error,±218,±169,±99,±85,±12,±146,±60,±39,±53,±223,±82,±59,±46
Census Tract 8276; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,956,256,133,65,0,356,44,37,42,344,316,208,8
    Margin of Error,±212,±102,±91,±61,±12,±160,±39,±36,±61,±163,±163,±156,±12
Census Tract 8277; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,881,248,88,54,0,122,50,17,6,511,134,94,45
    Margin of Error,±191,±69,±50,±38,±12,±37,±22,±19,±10,±178,±61,±63,±38
Census Tract 8278.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,707","1,238",301,50,0,225,34,12,7,244,166,82,40
    Margin of Error,±257,±262,±202,±37,±12,±94,±32,±19,±11,±137,±134,±75,±43
Census Tract 8278.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,036",559,248,59,29,296,22,0,14,181,104,104,8
    Margin of Error,±97,±159,±126,±38,±46,±128,±27,±12,±22,±118,±98,±98,±12
Census Tract 8278.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,253",825,273,185,0,300,60,21,18,128,111,111,17
    Margin of Error,±251,±155,±113,±96,±12,±169,±41,±26,±26,±142,±142,±142,±23
Census Tract 8278.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,950,615,133,102,26,208,65,30,0,127,60,35,23
    Margin of Error,±148,±152,±62,±57,±33,±81,±49,±31,±12,±76,±52,±41,±31
Census Tract 8279.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,718,520,148,79,0,188,68,25,0,10,10,9,0
    Margin of Error,±58,±89,±64,±44,±12,±77,±63,±22,±12,±12,±12,±12,±12
Census Tract 8279.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,578",707,159,108,0,327,60,49,32,544,327,172,0
    Margin of Error,±196,±244,±98,±89,±12,±102,±44,±42,±39,±144,±116,±95,±12
Census Tract 8280; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,049",816,286,62,0,446,42,21,42,787,173,64,151
    Margin of Error,±346,±309,±272,±62,±17,±174,±45,±21,±63,±224,±106,±50,±121
Census Tract 8281; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,021","1,064",533,189,0,491,106,106,18,466,254,147,0
    Margin of Error,±290,±364,±356,±116,±17,±208,±118,±118,±31,±197,±136,±114,±17
Census Tract 8282.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,602",761,247,108,0,429,141,14,9,412,202,172,0
    Margin of Error,±239,±138,±97,±74,±12,±201,±183,±16,±13,±191,±112,±103,±12
Census Tract 8282.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,916",860,297,181,0,278,38,38,0,778,283,187,167
    Margin of Error,±208,±174,±137,±115,±17,±109,±45,±45,±17,±223,±152,±117,±177
Census Tract 8283; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,320",749,314,225,5,413,42,16,17,158,85,49,9
    Margin of Error,±173,±170,±165,±154,±8,±111,±36,±27,±21,±69,±55,±48,±14
Census Tract 8284.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,273",357,85,8,10,442,116,94,37,474,202,74,0
    Margin of Error,±177,±96,±50,±11,±17,±119,±84,±81,±46,±112,±84,±62,±12
Census Tract 8284.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,395",660,122,45,0,317,52,12,0,418,301,110,17
    Margin of Error,±150,±125,±56,±30,±12,±85,±52,±16,±12,±106,±108,±82,±14
Census Tract 8285.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,516",528,199,109,0,244,38,8,0,744,409,203,56
    Margin of Error,±196,±168,±104,±86,±12,±100,±50,±21,±12,±187,±171,±126,±63
Census Tract 8285.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,511",582,287,127,0,378,32,11,0,551,358,215,34
    Margin of Error,±159,±168,±148,±110,±12,±134,±38,±17,±12,±144,±153,±140,±56
Census Tract 8285.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,706","1,773",315,163,0,514,31,12,0,419,237,177,0
    Margin of Error,±389,±424,±172,±112,±17,±173,±39,±19,±17,±218,±171,±161,±17
Census Tract 8285.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,384",781,248,131,0,514,68,60,0,89,21,21,0
    Margin of Error,±294,±281,±176,±104,±12,±134,±49,±50,±12,±74,±25,±25,±12
Census Tract 8285.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,824",742,259,185,0,471,130,114,0,611,593,466,0
    Margin of Error,±360,±270,±187,±169,±12,±226,±103,±100,±12,±257,±259,±252,±12
Census Tract 8286.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,696","1,041",213,156,0,505,47,47,9,150,18,16,91
    Margin of Error,±152,±153,±102,±88,±12,±137,±42,±42,±14,±113,±29,±28,±106
Census Tract 8286.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,463",863,186,73,0,434,73,11,0,166,130,24,25
    Margin of Error,±102,±118,±90,±55,±12,±128,±50,±13,±12,±105,±101,±43,±32
Census Tract 8287.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,376",643,235,126,0,256,67,40,0,477,147,138,248
    Margin of Error,±182,±147,±106,±73,±12,±86,±43,±32,±12,±196,±90,±90,±192
Census Tract 8287.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,464",604,97,41,26,408,112,97,0,452,214,82,15
    Margin of Error,±227,±148,±52,±45,±42,±138,±105,±101,±12,±123,±102,±65,±18
Census Tract 8288.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,840",868,214,111,0,776,172,78,0,196,47,10,13
    Margin of Error,±221,±148,±91,±78,±17,±200,±91,±58,±17,±124,±61,±16,±20
Census Tract 8288.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,097",441,107,23,13,469,147,55,0,187,80,0,0
    Margin of Error,±133,±129,±79,±27,±20,±154,±79,±36,±12,±120,±89,±12,±12
Census Tract 8289; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,233",412,222,93,0,211,0,0,0,610,202,157,32
    Margin of Error,±179,±140,±118,±65,±12,±110,±12,±12,±12,±170,±122,±114,±51
Census Tract 8290; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,342,21,0,0,0,50,12,12,0,271,145,30,13
    Margin of Error,±98,±37,±12,±12,±12,±49,±19,±19,±12,±96,±78,±48,±19
Census Tract 8291; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,217",262,192,126,0,288,75,41,15,667,356,182,7
    Margin of Error,±239,±130,±120,±98,±12,±115,±87,±49,±24,±180,±167,±142,±16
Census Tract 8292; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,807",526,254,102,0,751,125,125,20,530,297,235,44
    Margin of Error,±219,±165,±114,±72,±17,±190,±123,±123,±30,±166,±146,±131,±73
Census Tract 8293.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,374",899,186,65,34,365,135,46,7,110,96,84,0
    Margin of Error,±228,±190,±89,±54,±39,±151,±120,±41,±12,±89,±87,±85,±12
Census Tract 8293.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,005",223,92,27,12,163,0,0,0,619,221,198,107
    Margin of Error,±215,±95,±64,±34,±19,±79,±12,±12,±12,±212,±186,±180,±109
Census Tract 8294.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,308,156,73,45,0,54,1,1,0,98,70,24,0
    Margin of Error,±75,±68,±52,±44,±12,±34,±8,±8,±12,±52,±39,±28,±12
Census Tract 8294.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,434",268,128,79,0,648,139,73,4,518,83,43,14
    Margin of Error,±169,±108,±82,±63,±12,±202,±95,±59,±16,±166,±62,±46,±18
Census Tract 8295; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,598",427,109,33,0,611,59,8,10,560,437,232,0
    Margin of Error,±168,±141,±90,±31,±12,±181,±57,±14,±17,±193,±168,±125,±12
Census Tract 8296; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,163",539,101,32,0,305,57,19,0,319,158,94,0
    Margin of Error,±171,±147,±71,±38,±12,±128,±47,±27,±12,±103,±86,±65,±12
Census Tract 8297; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,074",292,84,39,22,438,76,48,0,344,184,89,54
    Margin of Error,±152,±98,±52,±42,±31,±127,±67,±60,±12,±89,±85,±62,±48
Census Tract 8298; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,398","1,454",299,30,0,674,92,61,0,270,72,37,11
    Margin of Error,±303,±258,±134,±35,±17,±211,±71,±55,±17,±144,±53,±40,±24
Census Tract 8299.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,672","1,803",790,230,0,440,52,39,21,429,161,161,80
    Margin of Error,±355,±380,±404,±134,±17,±195,±48,±50,±31,±195,±146,±146,±94
Census Tract 8299.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,265",796,257,142,0,171,11,0,0,298,127,127,0
    Margin of Error,±179,±218,±133,±101,±12,±95,±16,±12,±12,±150,±106,±106,±12
Census Tract 8299.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,187","1,164",426,266,39,853,150,52,57,170,34,20,0
    Margin of Error,±245,±233,±196,±163,±62,±222,±97,±51,±48,±115,±43,±36,±12
Census Tract 8300.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,166",132,65,52,0,827,250,136,13,207,36,36,122
    Margin of Error,±251,±81,±46,±41,±12,±164,±100,±83,±22,±192,±37,±37,±178
Census Tract 8300.03; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,797","2,004",563,182,0,505,28,0,0,288,56,29,124
    Margin of Error,±251,±284,±201,±112,±17,±189,±44,±17,±17,±147,±70,±55,±110
Census Tract 8300.04; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,520","1,467",631,159,0,412,25,12,0,641,159,89,170
    Margin of Error,±323,±271,±252,±123,±17,±147,±29,±21,±17,±318,±104,±75,±130
Census Tract 8300.05; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,541","1,046",419,292,9,240,98,84,0,255,244,129,0
    Margin of Error,±228,±189,±162,±146,±14,±136,±116,±113,±12,±127,±126,±72,±12
Census Tract 8300.06; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,182",517,156,50,1,196,57,31,0,469,96,45,0
    Margin of Error,±208,±124,±80,±68,±11,±99,±44,±32,±12,±149,±67,±38,±12
Census Tract 8300.07; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,950",727,166,68,34,154,76,47,0,"1,069",403,235,13
    Margin of Error,±266,±182,±112,±77,±55,±72,±57,±49,±12,±262,±200,±127,±19
Census Tract 8300.08; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,505","1,128",297,79,19,212,32,22,0,165,85,34,0
    Margin of Error,±165,±186,±100,±48,±29,±85,±30,±25,±12,±99,±74,±53,±12
Census Tract 8301; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,007",622,195,127,0,326,46,29,0,59,11,11,0
    Margin of Error,±123,±129,±88,±74,±12,±98,±35,±25,±12,±65,±18,±18,±12
Census Tract 8302.01; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,241",309,73,43,0,265,67,37,29,"1,667",971,557,107
    Margin of Error,±301,±173,±58,±40,±17,±130,±65,±41,±46,±323,±348,±361,±123
Census Tract 8302.02; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,104",656,121,71,0,323,36,36,0,125,41,26,23
    Margin of Error,±185,±113,±76,±59,±12,±192,±53,±53,±12,±86,±33,±23,±30
Census Tract 8303; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,191",360,93,61,2,616,67,36,0,"1,215",582,391,130
    Margin of Error,±219,±176,±65,±58,±4,±224,±74,±54,±17,±300,±217,±194,±144
Census Tract 8304; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,612",644,204,158,0,532,71,53,0,436,118,77,71
    Margin of Error,±265,±157,±85,±77,±12,±258,±55,±52,±12,±157,±93,±78,±78
Census Tract 8305; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,132",327,109,61,0,503,89,14,44,302,126,72,0
    Margin of Error,±129,±153,±87,±69,±12,±139,±66,±21,±53,±144,±96,±79,±12
Census Tract 8306; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,168",377,138,69,0,134,9,9,0,"1,657",696,377,138
    Margin of Error,±246,±127,±86,±59,±12,±70,±14,±14,±12,±270,±219,±137,±77
Census Tract 8307; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,114",556,157,64,0,46,0,0,0,"1,512",635,344,27
    Margin of Error,±239,±164,±82,±57,±12,±46,±12,±12,±12,±242,±171,±128,±30
Census Tract 8308; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,583",135,23,9,0,90,35,35,0,"1,358",449,257,19
    Margin of Error,±191,±38,±24,±15,±12,±63,±41,±41,±12,±207,±161,±147,±23
Census Tract 8309; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,313",612,159,6,0,43,9,0,0,658,156,81,0
    Margin of Error,±180,±133,±92,±13,±12,±37,±15,±12,±12,±209,±72,±63,±12
Census Tract 8310; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,115",603,100,46,0,156,36,36,13,356,96,56,9
    Margin of Error,±112,±112,±62,±38,±12,±49,±27,±27,±20,±89,±49,±43,±10
Census Tract 8311; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,815",851,206,111,0,402,119,67,17,"1,562",578,328,105
    Margin of Error,±330,±189,±122,±96,±17,±161,±128,±112,±27,±417,±305,±205,±130
Census Tract 8312; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,543",475,258,148,0,225,52,37,0,843,402,210,83
    Margin of Error,±200,±154,±127,±103,±12,±139,±50,±45,±12,±200,±152,±114,±114
Census Tract 8313; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,385,98,68,24,0,24,0,0,0,263,153,105,40
    Margin of Error,±100,±59,±57,±38,±12,±21,±12,±12,±12,±109,±99,±99,±48
Census Tract 8314; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,171",202,103,89,0,244,108,94,47,725,395,279,31
    Margin of Error,±181,±115,±97,±84,±12,±201,±137,±136,±75,±170,±145,±141,±50
Census Tract 8315; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"1,325",552,305,43,0,310,23,9,0,463,252,63,0
    Margin of Error,±267,±220,±175,±36,±12,±122,±27,±13,±12,±219,±181,±60,±12
Census Tract 8316; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,"2,576",895,350,88,0,351,46,0,0,"1,330",789,349,21
    Margin of Error,±349,±230,±211,±104,±17,±152,±61,±17,±17,±362,±256,±194,±32
Census Tract 8317; Cook County; Illinois,,,,,,,,,,,,,
    Estimate,981,460,217,70,0,63,4,4,0,458,331,221,22
    Margin of Error,±206,±129,±115,±70,±12,±34,±6,±6,±12,±197,±192,±179,±25
